"RunID","ACCOUNTING_PERIOD_ID","PERIOD_NAME","START_DATE","END_DATE","FISCAL_CALENDAR","fiscal_calendar_id","quarter_name","year_name","closed","closed_accounts_payable","closed_accounts_receivable","closed_payroll","closed_all","closed_on","locked_accounts_payable","locked_accounts_receivable","locked_payroll","locked_all","isinactive","year_id"
"236","6","Jun 2013","2013-05-25 00:00:00.0","2013-06-28 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q1 (25/5 -23/8) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:00:42.0","Yes","Yes","Yes","Yes","No","1"
"236","7","Jul 2013","2013-06-29 00:00:00.0","2013-07-26 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q1 (25/5 -23/8) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:01:49.0","Yes","Yes","Yes","Yes","No","1"
"236","8","Aug 2013","2013-07-27 00:00:00.0","2013-08-23 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q1 (25/5 -23/8) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:02:45.0","Yes","Yes","Yes","Yes","No","1"
"236","17","Sep 2013","2013-08-24 00:00:00.0","2013-09-27 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q2 (24/8-22/11) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:04:15.0","Yes","Yes","Yes","Yes","No","1"
"236","18","Oct 2013","2013-09-28 00:00:00.0","2013-10-25 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q2 (24/8-22/11) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:05:14.0","Yes","Yes","Yes","Yes","No","1"
"236","19","Nov 2013","2013-10-26 00:00:00.0","2013-11-22 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q2 (24/8-22/11) 2013","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:06:10.0","Yes","Yes","Yes","Yes","No","1"
"236","20","Dec 2013","2013-11-23 00:00:00.0","2013-12-27 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q3 (23/11/2013 - 21/2/2014)","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:07:04.0","Yes","Yes","Yes","Yes","No","1"
"236","21","Jan 2014","2013-12-28 00:00:00.0","2014-01-24 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q3 (23/11/2013 - 21/2/2014)","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:08:03.0","Yes","Yes","Yes","Yes","No","1"
"236","22","Feb 2014","2014-01-25 00:00:00.0","2014-02-21 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q3 (23/11/2013 - 21/2/2014)","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:09:57.0","Yes","Yes","Yes","Yes","No","1"
"236","23","Mar 2014","2014-02-22 00:00:00.0","2014-03-28 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q4 (22/2 - 23/5) 2014","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:11:16.0","Yes","Yes","Yes","Yes","No","1"
"236","24","Apr 2014","2014-03-29 00:00:00.0","2014-04-25 00:00:00.0","Scholastic NZ Fiscal Calendar","2","Q4 (22/2 - 23/5) 2014","FY2014 (25/5/2013 - 23/5/2014)","Yes","Yes","Yes","Yes","Yes","2015-02-11 06:12:17.0","Yes","Yes","Yes","Yes","No","1"
